Plant,Classification,Model,Accuracy,F1-Score,Precision,Recall
Tomato,generation,clip,94.69,0.7514,0.6219,0.9488
Apple,binary,clip,98.69,0.9871,0.9864,0.9877
Maize,detailed,efficientnet_b0,99.71,1.0,1.0,1.0
Apple,detailed,efficientnet_b0,99.69,0.9863,1.0,0.973
Maize,detailed,clip,75.71,0.5105,0.411,0.6736
Apple,binary,resnet50,99.47,0.9947,0.9934,0.9961
Apple,generation,clip,93.38,0.686,0.5315,0.9672
Maize,binary,clip,99.78,0.9979,1.0,0.9957
Maize,detailed,resnet50,91.09,0.8889,0.9915,0.8056
Tomato,binary,efficientnet_b0,99.85,0.9984,0.9984,0.9984
Maize,generation,resnet50,96.97,0.8748,0.7817,0.9932
Tomato,generation,efficientnet_b0,99.93,0.9966,1.0,0.9932
Tomato,detailed,resnet50,99.36,1.0,1.0,1.0
Tomato,generation,resnet50,99.78,0.9881,0.9864,0.9898
Maize,binary,efficientnet_b0,99.75,0.9975,1.0,0.995
Apple,detailed,resnet50,99.36,0.966,0.9726,0.9595
Maize,generation,clip,85.49,0.6582,0.5232,0.887
Apple,detailed,clip,75.8,0.8912,0.8973,0.8851
Apple,generation,resnet50,99.93,0.9951,0.9935,0.9967
Maize,binary,resnet50,99.75,0.9975,1.0,0.995
Apple,generation,efficientnet_b0,100.0,1.0,1.0,1.0
Maize,generation,efficientnet_b0,99.78,0.9898,0.9831,0.9966
Tomato,detailed,clip,83.81,0.977,0.9868,0.9675
Tomato,binary,clip,99.75,0.9973,0.9968,0.9978
Tomato,detailed,efficientnet_b0,99.8,1.0,1.0,1.0
